id;ingresos;gastos_financieros;default
357;1421;260;0
358;1267;192;1
359;991;329;0
360;1491;0;0
361;973;0;0
362;1169;95;0
363;1799;886;0
364;1827;497;0
365;1621;106;1
366;1239;58;0
367;991;201;0
368;1372;0;1
369;1087;811;0
370;1204;171;0
371;1127;83;0
372;1288;160;0
373;1204;184;0
374;1182;354;0
375;1295;0;1
376;1169;0;1
377;1190;437;0
378;1337;108;0
379;1220;247;0
380;1253;63;0
381;1022;168;0
382;980;0;0
383;1570;176;1
384;3122;1386;0
385;987;0;0
386;1288;279;0
387;3808;1283;0
388;1697;709;0
389;1068;186;0
390;1050;103;0
391;1057;105;1
392;1197;0;1
393;1127;0;0
394;1169;471;0
395;915;614;0
396;2758;53;0
397;1701;0;0
398;1204;0;1
399;1197;0;0
400;1150;215;1
401;1204;48;0
402;1134;123;1
403;1841;282;0
404;1197;466;0
405;1232;118;0
406;1659;484;0
407;896;0;0
408;1596;65;0
409;1344;191;0
410;1435;121;1
411;1990;278;0
412;1246;0;0
413;947;16;1
414;1456;575;0
415;1183;661;1
416;2891;518;0
417;1743;434;1
418;1684;876;0
419;2233;657;0
420;1827;624;0
421;1533;334;0
422;1183;0;0
423;1722;0;0
424;1225;77;1
425;1042;181;0
426;1253;0;0
427;1393;312;0
428;1785;213;0
429;1022;368;0
430;1981;746;0
431;1061;119;0
432;1239;0;0
433;1337;316;0
434;1099;0;1
435;1260;0;0
436;1055;206;0
437;1400;88;0
438;1414;468;0
439;994;267;0
440;1125;0;0
441;1462;331;0
442;1169;207;0
443;1099;34;0
444;1022;0;0
445;1561;90;1
446;1526;518;0
447;1071;0;0
448;1176;64;0
449;1080;592;0
450;1477;1173;0
451;1061;60;0
452;1232;936;0
453;940;0;1
454;1316;314;1
455;1068;0;1
456;1295;1156;1
457;1379;0;0
458;1029;140;1
459;1225;30;0
460;1148;34;1
461;1786;464;0
462;1119;667;0
463;1204;1;0
464;973;0;0
465;1183;46;0
466;1134;250;0
467;1106;49;0
468;1290;123;1
469;1131;231;0
470;861;323;0
471;1015;0;0
472;1435;0;0
473;2289;1407;0
474;1505;386;0
475;1722;471;1
476;947;118;1
477;1085;0;0
478;1540;823;0
479;1190;410;0
480;1421;379;1
481;1057;0;0
482;1414;102;0
483;1414;49;1
484;1407;321;0
485;1602;340;0
486;1106;401;0
487;1449;0;1
488;1295;49;0
489;1131;456;1
490;1169;277;0
491;1638;640;1
492;1659;0;1
493;1155;0;0
494;1099;418;0
495;2443;1675;1
496;1498;703;0
497;991;106;1
498;1348;149;0
499;1582;134;0
500;1085;86;0
501;973;0;0
502;924;49;0
503;1246;0;1
504;973;34;0
505;1068;304;0
506;1672;548;1
507;1701;625;0
508;1563;737;0
509;1119;252;0
510;1708;725;0
511;1071;264;1
512;910;34;0
513;1421;306;0
514;1253;285;0
515;973;0;0
516;1085;34;0
517;1337;89;0
518;1148;65;1
519;1302;549;0
520;3402;3072;0
521;1227;205;0
522;1093;0;0
523;1195;241;1
524;1225;0;0
525;1092;192;0
526;2625;1691;0
527;1204;120;0
528;1001;0;0
529;1036;147;0
530;1267;0;0
531;1148;151;0
532;1190;0;0
533;1856;731;0
534;959;87;1
535;1414;238;0
536;1888;841;0
537;1190;75;0
538;1894;0;0
539;1246;137;0
540;1484;119;0
541;1120;0;0
542;1176;167;1
543;1297;110;0
544;1043;0;0
545;1365;189;1
546;1085;0;1
547;1309;0;0
548;1208;100;0
549;953;0;0
550;4731;702;0
551;1183;54;1
552;1736;593;0
553;1260;207;0
554;1278;320;0
555;998;0;0
556;1208;0;0
557;1232;129;0
558;1043;0;0
559;2317;857;0
560;1036;0;1
561;896;2;1
562;1360;880;0
563;1232;134;0
564;1360;153;0
565;1274;208;0
566;1260;0;0
567;1708;575;0
568;1519;0;1
569;1119;0;0
570;1092;110;0
571;1456;439;0
572;1372;62;0
573;1239;107;0
574;1260;199;0
575;1813;1099;0
576;1008;109;0
577;903;53;0
578;1358;239;1
579;1421;263;0
580;1323;842;0
581;1176;136;0
582;1162;224;1
583;1351;58;0
584;1078;165;0
585;979;374;0
586;1260;0;1
587;1232;208;0
588;994;0;0
589;1071;0;0
590;1092;0;0
591;952;0;0
592;1484;161;0
593;1757;2035;1
594;1379;81;0
595;1134;96;0
596;1071;0;0
597;1246;374;1
598;1099;228;0
599;1010;0;1
600;1463;122;0
601;1015;304;1
602;921;125;1
603;1274;0;0
604;1183;0;1
605;1603;532;0
606;870;125;0
607;1233;129;0
608;2632;929;0
609;1337;88;0
610;1125;98;0
611;1239;0;0
612;1078;133;0
613;2123;1583;1
614;1512;354;1
615;1258;0;0
616;1295;1252;0
617;1442;403;1
618;1071;0;0
619;1547;817;0
620;1218;0;1
621;980;0;0
622;1008;61;0
623;2450;1469;1
624;1372;136;0
625;1239;0;1
626;1393;361;0
627;952;0;1
628;1001;188;0
629;1264;19;0
630;1351;571;1
631;1119;166;0
632;1141;33;0
633;1392;0;0
634;1232;150;0
635;1456;591;0
636;1742;947;0
637;1456;368;0
638;1264;232;0
639;1827;78;0
640;2177;1076;1
641;1330;0;1
642;1715;871;0
643;1246;0;0
644;1163;222;1
645;1190;175;1
646;1169;0;0
647;1806;0;0
648;1372;0;0
649;1017;0;0
650;1036;0;1
651;1068;0;0
652;1498;215;0
653;1134;0;0
654;1106;88;1
655;1218;235;1
656;889;0;0
657;973;181;0
658;1169;241;0
659;1252;646;0
660;1290;555;0
661;1443;350;1
662;1505;482;1
663;1099;318;1
664;1120;374;1
665;883;0;0
666;973;319;0
667;1570;890;0
668;1603;573;0
669;1050;243;0
670;991;0;0
671;1253;26;1
672;1214;319;1
673;921;418;0
674;1551;427;0
675;1106;344;0
676;1106;0;0
677;1120;0;0
678;1841;499;1
679;1532;381;0
680;1330;334;0
681;1323;588;0
682;1407;436;0
683;1078;0;1
684;1141;0;0
685;1297;93;0
686;1017;228;0
687;1281;113;0
688;1119;65;0
689;1323;303;0
690;1757;349;0
691;1092;451;0
692;1218;78;0
693;1284;195;0
694;1583;350;0
695;1078;0;0
696;1148;0;0
697;1631;712;0
698;1297;169;0
699;1190;208;0
700;1302;214;1
701;1071;0;0
702;1074;78;1
703;1437;274;0
704;1379;144;0
705;959;0;0
706;1078;0;1
707;1792;751;0
708;812;135;1
709;1029;112;0
710;1120;0;0
711;1071;0;0
712;1481;1073;0
713;1071;252;0
714;1246;608;0
715;966;0;0
716;1141;0;0
717;1155;0;1
718;1043;29;1
719;1264;491;0
720;1365;33;0
721;979;249;0
722;1085;166;0
723;1085;258;0
724;2174;0;0
725;924;0;0
726;1001;460;0
727;959;83;0
728;1061;104;0
729;1246;210;0
730;1400;34;0
731;3017;759;0
732;1470;55;0
733;1225;114;0
734;1068;260;0
735;1358;220;1
736;1085;34;1
737;1252;406;0
738;1071;0;0
739;980;156;0
740;1131;487;0
741;1330;242;0
742;1131;608;0
743;1260;155;0
744;1119;0;0
745;2384;125;1
746;980;0;0
747;1017;0;0
748;1155;0;0
749;945;0;0
750;953;0;0
751;1071;0;1
752;6482;2230;0
753;979;0;0
754;1267;918;0
755;1131;150;0
756;1449;80;1
757;1708;34;0
758;1057;0;0
759;1162;233;0
760;1421;323;0
761;1330;10;0
762;3999;357;0
763;991;42;0
764;1150;215;1
765;1435;146;0
766;1470;163;0
767;1071;0;1
768;2422;1004;0
769;1239;443;0
770;1176;0;0
771;1424;0;0
772;1125;0;0
773;1113;0;0
774;1337;344;0
775;1183;0;1
776;1246;525;0
777;2002;214;0
778;1043;270;0
779;1071;429;0
780;1197;230;0
781;1344;278;0
782;973;63;1
783;1316;0;1
784;1379;0;1
785;959;353;0
786;980;18;1
787;1309;205;1
788;1344;0;1
789;1064;0;0
790;1246;93;0
791;1085;0;0
792;1134;112;0
793;947;0;1
794;947;0;0
795;2800;209;0
796;1281;221;0
797;1106;0;1
798;1078;0;0
799;1050;280;0
800;980;0;1
801;909;157;1
802;1856;99;0
803;1042;238;0
804;1267;1112;0
805;940;0;1
806;1680;755;1
807;2478;0;0
808;1211;43;0
809;1428;123;0
810;1487;783;0
811;1141;86;1
812;1386;175;0
813;1666;725;1
814;1155;0;0
815;1358;454;0
816;1064;240;0
817;980;34;1
818;1208;486;1
819;1112;124;0
820;1883;359;1
821;1393;298;0
822;985;234;0
823;1563;968;0
824;1672;355;0
825;1232;123;0
826;1071;0;0
827;1519;388;0
828;934;0;1
829;1678;152;0
830;1348;261;0
831;1204;137;1
832;1953;69;0
833;1260;0;0
834;1494;234;1
835;1157;263;0
836;1204;0;0
837;1785;881;0
838;945;0;0
839;1197;497;1
840;1071;73;0
841;1055;161;1
842;1197;98;0
843;915;0;0
844;1071;0;0
845;1373;417;1
846;1064;236;0
847;1182;435;0
848;1379;664;0
849;1288;0;0
850;1463;136;1
851;2100;713;1
852;1182;431;0
853;1491;21;0
854;1309;225;0
855;1190;27;1
856;1386;93;0
857;2492;1073;0
858;1365;220;0
859;1232;244;0
860;1113;0;1
861;1284;163;0
862;1092;0;0
863;931;107;1
864;1085;195;0
865;915;288;1
866;1701;1044;0
867;2212;1216;1
868;1505;0;0
869;1582;256;1
870;1337;104;0
871;2135;142;0
872;1533;490;0
873;1239;98;0
874;1278;252;0
